Timestamp,19338,8830,4531,18911,7910,9767,10030,9029,7226,17,18886,13993,18886,8091,8452,7733,16650
2/15/2022 19:27,"Insecure, Scorned, Disgusted","Disgusted, Resentful","Not Confident, Insecure, Frustrated, Resentful","Defeated, Not Confident, Rejected, Sad, Insecure, Fearful, Frustrated, Weak","Hateful, Disgusted","Rejected, Sad, Insecure, Frustrated, Excluded, Weak, Unattractive","Not Confident, Insecure",I do not know,"Confused, Insecure, Resentful","Hateful, Disgusted, Resentful","Defeated, Sad, Fearful","Defeated, Not Confident, Rejected, Sad, Insecure, Fearful, Excluded",Hateful,"Hateful, Resentful","Defeated, Not Confident, Sad, Insecure, Fearful, Weak, Unattractive","Frustrated, Hateful, Resentful, Enraged","Rejected, Sad, Insecure, Frustrated, Resentful"
2/15/2022 22:26,"Rejected, Insecure, Excluded, Shunned, Unattractive","Fearful, Frustrated, Scorned, Hateful, Paranoid, Vengeful, Enraged","Not Confident, Insecure, Frustrated, Scorned, Hateful, Disgusted, Resentful, Enraged","Defeated, Not Confident, Sad, Insecure, Frustrated, Weak, Hateful, Disgusted","Rejected, Insecure, Fearful, Frustrated, Excluded, Shunned, Hateful, Resentful","Defeated, Not Confident, Rejected, Sad, Insecure, Fearful, Frustrated, Excluded, Weak, Shunned, Unattractive, Hateful, Disgusted, Resentful","Not Confident, Sad, Insecure, Weak, Unattractive","Insecure, Frustrated, Unattractive, Resentful",I do not know,"Not Confident, Rejected, Insecure, Frustrated, Weak, Unattractive, Hateful, Resentful, Vengeful, Enraged","Defeated, Not Confident, Rejected, Sad, Insecure, Fearful, Frustrated, Weak, Unattractive","Not Confident, Rejected, Sad, Insecure, Frustrated, Unattractive, Hateful, Resentful",I do not know,"Not Confident, Insecure, Fearful, Excluded, Weak, Unattractive, Hateful, Disgusted, Resentful, Enraged","Defeated, Not Confident, Rejected, Sad, Insecure, Frustrated, Excluded, Weak, Shunned, Unattractive, Hateful, Disgusted, Resentful","Rejected, Insecure, Frustrated, Excluded, Unattractive, Hateful, Disgusted, Resentful, Vengeful, Enraged","Not Confident, Rejected, Sad, Insecure, Frustrated, Excluded, Unattractive, Hateful, Disgusted, Resentful"
2/15/2022 22:27,"Excluded, Scorned, Resentful","Hateful, Disgusted, Resentful","Rejected, Insecure, Frustrated, Unattractive","Defeated, Not Confident, Rejected, Sad, Insecure, Frustrated, Excluded","Rejected, Insecure, Frustrated, Excluded, Weak, Disgusted","Defeated, Not Confident, Rejected, Frustrated, Shunned, Unattractive, Resentful",I do not know,"Confused, Insecure, Excluded","Excluded, Disgusted","Insecure, Frustrated, Excluded, Unattractive, Hateful, Paranoid, Resentful, Vengeful","Sad, Insecure, Fearful, Excluded, Shunned","Defeated, Insecure, Frustrated, Scorned",Hateful,"Excluded, Scorned, Unattractive, Disgusted, Resentful","Sad, Insecure, Frustrated, Weak, Unattractive","Scorned, Hateful, Enraged, Violent","Rejected, Excluded, Shunned"
